male names,female names
Solon,Christie
Thurman,Clella
Tilden,Clifford
Troy,Dicie
Woodson,Dorcas
Worth,Dortha
Aden,Dulcie
Alcide,Ellar
Alf,Elvina
Algie,Ena
Arlie,Erie
Bart,Evaline
Bedford,Eveline
Benito,Fae
Billy,Isadora
Bird,Ivory
Birt,Jaunita
Bruno,Jerry
Burley,Jossie
Chancy,Lexie
Claus,Luvinia
Cliff,Macy
Clovis,Malvina
Connie,Mary
Creed,Helen
Delos,Anna
Duke,Margaret
Eber,Ruth
Eligah,Elizabeth
Elliot,Marie
Elton,Florence
Emmitt,Ethel
Gene,Lillian
Golden,Gladys
Hal,Alice
Hardin,Edna
Harman,Mildred
Hervey,Grace
Hollis,Annie
Ivey,Emma
Jennie,Clara
Len,Bertha
Lindsay,Rose
Lonie,Bessie
Lyle,Dorothy
Mac,Hazel
Mal,Mabel
Math,Frances
Miller,Minnie
Orson,Gertrude
Osborne,Myrtle
Percival,Martha
Pleas,Irene
Ples,Pearl
Rafael,Edith
Raoul,Esther
Roderick,Ida
Rose,Elsie
Shelton,Louise
Sid,Eva
Theron,Catherine
Tobias,Agnes
Toney,Sarah
Tyler,Nellie
Vance,Ella
Vivian,Josephine
Walton,Laura
Watt,Lillie
Weaver,Julia
Wilton,Viola
Adolf,Carrie
Albin,Mattie
Albion,Ruby
Allison,Lena
Alpha,Alma
Alpheus,Beatrice
Anastacio,Mae
Andre,Jessie
Annie,Hattie
Arlington,Thelma
Armand,Cora
Asberry,Blanche
Asbury,Mamie
Asher,Lucy
Augustin,Evelyn
Auther,Marion
Author,Pauline
Ballard,Stella
Blas,Ada
Caesar,Lula
Candido,Willie
Cato,Jennie
Clarke,Lucille
Clemente,Katherine
Colin,Fannie
Commodore,Vera
Cora,Beulah
Coy,Rosa
Cruz,Virginia
Curt,Maude
Damon,Leona
Davie,Dora
Delmar,Maggie
Dexter,Nora
Dora,Ellen
Doss,Marguerite
Drew,Eleanor
Edson,Sadie
Elam,Bernice
Elihu,Daisy
Eliza,Susie
Elsie,Ann
Erie,Kathryn
Ernie,Violet
Ethel,Hilda
Ferd,Nettie
Friend,Theresa
Garry,May
Gary,Georgia
Grace,Effie
Gustaf,Olive
Hallie,Emily
Hampton,Della
Harrie,Doris
Hattie,Nancy
Hence,Lydia
Hillard,Anne
Hollie,Charlotte
Holmes,Lottie
Hope,Flora
Hyman,Lola
Ishmael,Lois
Jarrett,Sallie
Jessee,Marjorie
Joeseph,Betty
Junious,Ollie
Kirk,Inez
Levy,Lizzie
Mervin,Katie
Michel,Lela
Milford,Loretta
Mitchel,Goldie
Nellie,Iva
Noble,Mable
Obed,Eunice
Oda,Harriet
Orren,Eula
Ottis,Caroline
Rafe,Opal
Redden,Ora
Reese,Addie
Rube,Sylvia
Ruby,Velma
Rupert,Alberta
Salomon,Henrietta
Sammie,Estelle
Sanders,Etta
Soloman,Rachel
Stacy,Essie
Stanford,Genevieve
Stanton,Verna
Thad,Nannie
Titus,Amelia
Tracy,Maria
Vernie,Lucile
Wendell,Victoria
Wilhelm,Rebecca
Willian,Susan
Yee,Vivian
Zeke,Madeline
Ab,Jean
Abbott,Rosie
Agustus,Jane
Albertus,Mollie
Almer,Ola
Alphonso,Sophie
Alvia,Frieda
Artie,Amanda
Arvid,Sara
Ashby,Irma
Augusta,Flossie
Aurthur,Marian
Babe,Nina
Baldwin,Elva
Barnett,Estella
Bartholomew,Janie
Barton,Barbara
Bernie,Alta
Blaine,Christine
Boston,Matilda
